Date(CST),Suspected (current),Active confirmed cases,Daily increase  in active,Confirmed(cumulative),Daily increase  in confirmed (cumulative),Serious(current),%serious (current),Deaths(cumulative),Recovered(cumulative),Deaths + recovered (cumulative),D/(D+R),?D/?(D+R) (daily),D/C,(D+R)/C,Quarantined(current),Released(on the day),Released(cumulative),Total(cumulative)
12/31/2019,27,,,,,7,,0,,,,,,,,,,
1/3/2020,44,,,,,11,,0,,,,,,,121,,,
1/5/2020,59,,,,,7,,0,,,,,,,163,,,
1/10/2020,,38,,41,,7,17.50%,1,2,3,33.30%,,2.44%,7.30%,739,,0,739
1/11/2020,,34,-10.50%,41,0.00%,7,17.50%,1,6,7,14.30%,0.00%,2.44%,17.10%,717,,46,763
1/12/2020,,33,-2.90%,41,0.00%,6,15.00%,1,7,8,12.50%,0.00%,2.44%,19.50%,687,,76,763
1/13/2020,,33,0.00%,41,0.00%,6,15.00%,1,7,8,12.50%,,2.44%,19.50%,576,,187,763
1/14/2020,,33,0.00%,41,0.00%,6,18.18%,1,7,8,12.50%,,2.44%,19.50%,313,,450,763
1/15/2020,,27,-18.20%,41,0.00%,5,18.52%,2,12,14,14.30%,16.70%,4.88%,34.10%,119,,644,763
1/16/2020,,28,3.70%,45,9.80%,5,17.86%,2,15,17,11.80%,0.00%,4.44%,37.80%,98,,665,763
1/17/2020,,41,46.40%,62,37.80%,8,19.51%,2,19,21,9.50%,0.00%,3.22%,33.90%,82,,681,763
1/18/2020,,94,129.30%,121,95.20%,7,7.40%,3,24,27,11.10%,16.70%,1.65%,22.30%,,,,
1/19/2020,,170,80.90%,198,63.60%,44,25.90%,3,25,28,10.70%,33.30%,1.52%,14.10%,90,,727,817
1/20/2020,54,260,52.90%,291,47.00%,63,24.20%,6,25,31,19.40%,100.00%,2.06%,10.70%,922,,817,1739
1/21/2020,37,,,440,51.20%,102,,9,,,,,2.04%,,"1,394",,765,"2,197"
1/22/2020,257,,,571,29.80%,95,,17,,,,,2.97%,,"4,928",,969,"5,897"
1/23/2020,"1,072",771,,830,45.40%,177,22.96%,25,34,59,42.40%,19.00%,3.01%,7.10%,"8,420",,"1,087","9,507"
1/24/2020,"1,965","1,208",56.70%,"1,287",55.10%,237,19.62%,41,38,79,51.90%,80.00%,3.19%,6.10%,"13,967",,"1,230","15,197"
1/25/2020,"2,684","1,870",54.80%,"1,975",53.50%,324,17.33%,56,49,105,53.30%,57.70%,2.84%,5.30%,"21,556",325,,"23,431"
1/26/2020,"5,794","2,613",39.70%,"2,744",38.90%,461,17.64%,80,51,131,61.10%,92.30%,2.92%,4.80%,"30,453",583,,"32,799"
1/27/2020,"6,973","4,349",66.40%,"4,515",64.50%,976,22.44%,106,60,166,63.90%,74.30%,2.35%,3.70%,"44,132",914,,"47,833"
1/28/2020,"9,239","5,739",32.00%,"5,974",32.30%,"1,239",21.59%,132,103,235,56.20%,37.70%,2.21%,3.90%,"59,990","1,604",,"65,537"
1/29/2020,"12,167","7,417",29.20%,"7,711",29.10%,"1,370",18.47%,170,124,294,57.80%,64.40%,2.20%,3.80%,"81,947","2,364",,"88,693"
1/30/2020,"15,238","9,308",25.50%,"9,692",25.70%,"1,527",16.41%,213,171,384,55.50%,47.80%,2.20%,4.00%,"102,427","4,201",,"113,579"
1/31/2020,"17,988","11,289",21.30%,"11,791",21.70%,"1,795",15.90%,259,243,502,51.60%,39.00%,2.20%,4.30%,"118,478","6,509",,"136,987"
2/1/2020,"19,544","13,748",21.80%,"14,380",22.00%,"2,110",15.35%,304,328,632,48.10%,34.60%,2.11%,4.40%,"137,594","8,044",,"163,844"
2/2/2020,"21,558","16,369",19.10%,"17,205",19.60%,"2,296",14.03%,361,475,836,43.20%,27.90%,2.10%,4.90%,"152,700","10,055",,"189,583"
2/3/2020,"23,214","19,383",18.40%,"20,440",18.80%,"2,788",14.38%,425,632,"1,057",40.20%,29.00%,2.08%,5.20%,"171,329","12,755",,"221,015"
2/4/2020,"23,260","22,942",18.40%,"24,324",19.00%,"3,219",14.03%,490,892,"1,382",35.50%,20.00%,2.01%,5.70%,"185,555","18,457",,"252,154"
2/5/2020,"24,702","26,302",14.60%,"28,018",15.10%,"3,859",14.67%,563,"1,153","1,716",32.80%,21.90%,2.01%,6.10%,"186,354","21,365",,"282,813"
2/6/2020,"26,359","28,985",10.20%,"31,161",11.20%,"4,821",16.63%,637,"1,540","2,177",29.30%,16.10%,2.04%,7.00%,"186,045","26,762",,"314,028"
2/7/2020,"27,657","31,774",9.60%,"34,546",10.90%,"6,101",19.20%,722,"2,050","2,772",26.00%,14.30%,2.09%,8.00%,"189,660","26,702",,"345,498"
2/8/2020,"28,942","33,738",6.20%,"37,198",7.70%,"6,188",18.34%,811,"2,649","3,460",23.40%,12.90%,2.18%,9.30%,"188,183","31,124",,"371,905"
2/9/2020,"23,589","35,982",6.70%,"40,171",8.00%,"6,484",18.02%,908,"3,281","4,189",21.70%,13.30%,2.26%,10.40%,"187,518","29,307",,"399,487"
2/10/2020,"21,675","37,626",4.60%,"42,638",6.10%,"7,333",19.49%,"1,016","3,996","5,012",20.30%,13.10%,2.38%,11.80%,"187,728","26,724",,"428,438"
2/11/2020,"16,067","38,800",3.10%,"44,653",4.70%,"8,204",21.14%,"1,113","4,749","5,862",19.00%,11.40%,2.49%,13.10%,"185,037","30,068",,"451,462"
2/12/2020,"13,435","52,526",35.40%,"59,804",33.90%,"8,030",15.29%,"1,259","5,911","7,170",17.60%,11.20%,2.11%,12.00%,"181,386","29,429",,"471,531"
2/13/2020,"10,109","55,748",6.10%,"63,851",6.80%,"10,204",18.30%,"1,380","6,723","8,103",17.00%,13.00%,2.16%,12.70%,"177,984","26,905",,"493,067"
2/14/2020,"8,969","56,873",2.00%,"66,492",4.10%,"11,053",19.40%,"1,523","8,096","9,619",15.80%,9.40%,2.29%,14.50%,"169,039","30,081",,"513,183"
2/15/2020,"8,228","57,416",1.00%,"68,500",3.00%,"11,272",19.60%,"1,665","9,419","11,091",15.00%,9.60%,2.43%,16.20%,"158,764","29,788",,"529,418"
2/16/2020,"7,264","57,934",0.90%,"70,548",3.00%,"10,644",18.40%,"1,770","10,844","12,614",14.00%,6.90%,2.51%,17.90%,"150,539","28,179",,"546,016"
2/17/2020,"6,242","58,016",0.10%,"72,436",2.70%,"11,741",20.23%,"1,868","12,552","14,420",13.00%,5.40%,2.58%,19.90%,"141,552","27,908",,"560,901"
2/18/2020,"5,248","57,805",-0.30%,"74,185",2.40%,"12,017",20.79%,"2,004","14,376","16,380",12.20%,6.90%,2.70%,22.10%,"135,581","25,014",,"574,418"
2/19/2020,"4,922","56,303",-2.60%,"74,576",0.50%,"11,864",21.07%,"2,118","16,155","18,273",11.60%,6.00%,2.84%,24.50%,"126,363","25,318",,"589,163"
2/20/2020,"5,206","54,965",-2.40%,"75,465",1.20%,"11,633",21.16%,"2,236","18,264","20,500",10.90%,5.30%,2.96%,27.20%,"120,302","28,804",,"606,037"
2/21/2020,"5,365","53,284",-3.10%,"76,288",1.10%,"11,477",21.54%,"2,345","20,659","23,004",10.20%,4.40%,3.07%,30.20%,"113,564","26,441",,"618,915"
2/22/2020,"4,148","51,606",-3.10%,"76,936",0.80%,"10,968",21.25%,"2,442","22,888","25,330",9.60%,4.20%,3.17%,32.90%,"106,089","22,128",,"628,517"
2/23/2020,"3,434","49,824",-3.50%,"77,150",0.30%,"9,915",19.90%,"2,592","24,734","27,326",9.50%,7.50%,3.36%,35.40%,"97,481","16,758",,"635,531"
2/24/2020,"2,824","47,672",-4.30%,"77,658",0.70%,"9,126",19.14%,"2,663","27,323","29,986",8.90%,2.70%,3.43%,38.60%,"87,902","15,758",,"641,742"
2/25/2020,"2,067","45,604",-4.30%,"78,064",0.50%,"8,752",19.19%,"2,715","29,745","32,460",8.40%,2.10%,3.48%,41.60%,"79,108","14,573",,"647,406"
2/26/2020,"2,358","43,258",-5.10%,"78,497",0.60%,"8,346",19.29%,"2,744","32,495","35,239",7.70%,1.00%,3.50%,44.90%,"71,572","12,823",,"652,174"
2/27/2020,"2,308","39,919",-7.70%,"78,824",0.40%,"7,952",19.92%,"2,788","36,117","38,905",7.20%,1.20%,3.54%,49.40%,"65,225","10,525",,"656,054"
2/28/2020,"1,418","37,414",-6.30%,"79,251",0.50%,"7,664",20.48%,"2,835","39,002","41,837",6.80%,1.60%,3.58%,52.80%,"58,233","10,193",,"658,587"
2/29/2020,851,"35,329",-5.60%,"79,824",0.70%,"7,365",20.85%,"2,870","41,625","44,495",6.50%,1.30%,3.60%,55.70%,"51,856","8,620",,"660,716"
3/1/2020,715,"32,652",-7.60%,"80,026",0.30%,"7,110",21.78%,"2,912","44,462","47,374",6.10%,1.50%,3.64%,59.20%,"46,219","8,154",,"663,240"
3/2/2020,587,"30,004",-8.10%,"80,151",0.20%,"6,806",22.68%,"2,943","47,204","50,147",5.90%,1.10%,3.67%,62.60%,"40,651","7,650",,"664,899"
3/3/2020,520,"27,433",-8.60%,"80,270",0.10%,"6,416",23.39%,"2,981","49,856","52,837",5.60%,1.40%,3.71%,65.80%,"36,432","6,250",,"666,397"
3/4/2020,522,"25,352",-7.60%,"80,409",0.20%,"5,952",23.50%,"3,012","52,045","55,057",5.50%,1.40%,3.75%,68.50%,"32,870","6,584",,"669,025"
3/5/2020,482,"23,784",-6.20%,"80,552",0.20%,"5,737",24.10%,"3,042","53,726","56,768",5.40%,1.80%,3.78%,70.50%,"29,896","5,457",,"670,854"
